Title,URL,Type,Start_date,End_date,Countries,Funding,Funding_source,Funding_information,Partner,PI_institution,Principal_investigator,Partner,Abstract,Objectives,Methodology,Themes
Malaria Vector Population Genetic Division and Vector Competence in Hainan Island,http://projectreporter.nih.gov/project_info_details.cfm?aid=8460098&icde=0,Project,Apr-12,Jan-14,China,$128 000,"Fogarty International Center (FIC), NIH",,"Chongqing Normal University, China",Pennsylvania State University,Liwang Cui,"Chongqing Normal University, China","Malaria is a significant public health problem and impediment to socioeconomic development in countries of the Greater Mekong Subregion of Southeast Asia. The tremendous geographical heterogeneity of malaria epidemiology in this region is associated with diverse vector systems with different vectorial capacities for the parasites.As the major measures of malaria control strategies, insecticide-treated bed nets and indoor sprays have resulted in pyrethroid resistance, and greatly reshaped the mosquito community and population structures.
In Hainan Island of China, extensive use of insecticides for malaria control has led to an initially sharp decrease and recently rebound of Anopheles miminus, the key malaria vector in China and Southeast Asia. Not only has the insecticide-driven vector population succession restructured the vector community, but also the resurged mosquito population displayed altered biting preference.
Based on these observations, we hypothesize that recent intensive malaria vector control measures and agricultural pest control measures have caused a significant ecological species succession and population genetic bottleneck of malaria vectors in Hainan Island, China.
Therefore, this FIRCA proposal aims to take the advantage of geographical isolation of Hainan Island to elucidate the evolution of a major malaria vector in response to insecticide control. We will determine whether the different ecotypes of An. minimus from hilly and plain areas have different vectorial competence to Plasmodium falciparum infections. This study will provide invaluable information for the prediction of mosquito evolution in response to insecticides-based mosquito control measures in other malaria-endemic regions of Southeast Asia.
",,Entomology,"Impact of interventions, Insecticide resistance"
The genetics of behavioral resistance in Anopheles gambiae (M),http://projectreporter.nih.gov/project_info_description.cfm?aid=8808390,Project,Dec-14,Nov-16,Equatorial Guinea,$215 000,"National Institute of Allergy and Infectious Diseases (NIAID), NIH",,,Texas A&M University,Michel A. Slotman,,"Malaria control depends crucially on two widespread control methods;long-lasting insecticidal nets (LLINs) and indoor residual spraying (IRS). Both methods rely on the indoor application of insecticides, and successfully target vectors that feed and rest indoors. The efficacy of LLINs and IRS is threatened by insecticide resistance and changes in the mosquito's behavior. This behavioral resistance involves vectors shifting towards outdoor biting and resting. While the biological basis of insecticide resistance is well-studied, nothing is known about the genetic basis of behavioral resistance.
The malaria vector Anopheles gambiae (M) on Bioko Island has been subjected to IRS under the Bioko Island Malaria Control Project (BIMCP) since 2004. This has resulted in a shift of this mosquito's behavior towards outdoor host seeking. Because the bendiocarb insecticide used on Bioko has low repellency, and because the outdoor biting rate was the same one vs. five months following spraying, we hypothesize that the behavioral resistance of this population has a strong genetic basis.
We will use a DNA pooling and whole genome sequencing approach to map loci involved in outdoor biting in the An. gambiae (M) population on Bioko Island. Outdoor and indoor biting mosquitoes were collected using human landing catches as part of the vector monitoring of the BIMCP from 2009 to 2013. Outdoor and indoor samples from 2009 and 2013 will be pooled and sequenced. This will produce >2,000,000 SNPs that will be used to identify alleles that occur at significantly higher frequency in the outdoor vs the indoor biting mosquitoes.
We have developed a novel simulation approach for establishing the false discovery rate (=significance threshold). This approach will identify loci responsible for variation in host seeking behavior in post-control populations.
Preliminary results show that we will be able to identify alleles that differ in frequency by 0.069. In addition, we will identify loci that increased in frequency followng the vector control by comparing pre-intervention samples collected in 2004 to post-control 2009 and 2013 samples. Simulations that incorporate genetic drift and sampling effects will provide the false discovery rate, allowing the identification of loci under positive selection. These two approaches will provide a list of candidate loci underlying behavioral resistance in a major malaria vector. This will be the first study into the biological basis of behavioral resistance and takes the first step towards developing the tools to monitor or counteract this major threat to our vector control tools.
",,"Basic science, Entomology","Insecticide resistance, Residual transmission"
Insecticide Resistance in Anopheles minimus Mosquitoes,http://projectreporter.nih.gov/project_info_description.cfm?aid=8212246,Project,Dec-09,Nov-13,China,$183 000,"Fogarty International Center (FIC), NIH",,"Nanjing Medical University, China","University of California, Irvine",Guiyun Yan,"Nanjing Medical University, China","Malaria is a major public health problem in China. Pyrethroid-impregnated bed nets and indoor spray with pyrethroids are the main malaria vector control tools. However, the wide use of pyrethroids has resulted in the emergence and spread of resistance in mosquito populations. Insecticide resistance has significantly hindered the efforts of malaria control in China and worldwide.
This application will focus on resistance mechanisms in an important malaria vector in Southern China, Anopheles minimus C. The central hypothesis is that both knockdown resistance (kdr) and metabolic detoxification confer resistance to pyrethroids in An. minimus, and consequently, the resistance level of a mosquito to pyrethroids is contingent on mutations in kdr gene and monooxygenase activity.The kdr gene polymorphism in natural populations will be determined, and correlations between the kdr mutations, monooxygenase activity with pyrethroid resistance phenotype will be examined.
This research will play an important foundation for the development of molecular- or biochemically-based resistance diagnosis tools in this important malaria vector species in China and Southeast Asia.
PUBLIC HEALTH RELEVANCE: This application focuses on resistance mechanisms in the most important malaria vector in Southern China, Anopheles minimus C. Understanding the resistance mechanisms will play an important foundation for the development of new resistance diagnosis tools. Further, this research will contribute to building research capacity in medical entomology in China by providing research training for one Ph.D. student and one postdoc fellow, and strengthen the molecular entomology laboratory in Nanjing Medical University.
",,"Basic science, Entomology",Insecticide resistance
Evolutionary and ecological response of African malaria vectors to insecticide-treated nets: vector population replacement?,http://www.malariaeradication.org/mesa-track/evolutionary-and-ecological-response-african-malaria-vectors-insecticide-treated-nets,Project,Oct-10,Sep-13,,$467 822,Wellcome Trust,,,Ifakara Health Institute (IHI),Kija Ng'habi,,"Insecticide Treated Nets (ITNs) are the front line strategy for malaria vector control in Sub-Saharan African countries. The widespread community protection that can be achieved through ITNs is well documented.
However, less is known about the potential longer term consequences of ITN use in terms of their potential to select for new vector phenotypes and genotypes that reduce the efficacy of control. Possible detrimental effects include selection for insecticide resistance, and/or shifts in be haviours. Inherent difficulties in reliably sampling vector populations in the field have impeded accurate measurement of the impact of ITNs on mosquito behaviour and survival.
I propose to overcome these limitations by experimentally studying the ecology and demographic responses of vector populations to ITNs within a large-scale enclosed Semi-Field System.
I will use this system to experimentally investigate the potential of ITNs to (i) select for increased zoophagy, exophily and altered bitin g activity peaks in African vector species, (ii) select for insecticide resistance, and (iii) drive vector species replacement.
Information obtained will be used to predict the potential long-term evolutionary impact as well as short-term epidemiological impact of ITN use, and suggest solutions to maintain the long-term effectiveness of insecticide-based vector control programmes
",,Entomology,"Impact of interventions, Insecticide resistance, Residual transmission"
Malaria elimination in Sub-Saharan Africa: essential tools and identifiable targets,http://gtr.rcuk.ac.uk/project/0571BB56-4312-4F51-A8B6-6CE5571C8AD7,Project,Jan-12,Jan-17,,,,,,"Medical Research Council (MRC) Unit, The Gambia ",Umberto D´Alessandro,,"This proposed research program to be carried out in The Gambia aims at providing sub-Saharan African National Malaria Control Programs with the necessary knowledge and tools to move farther, towards malaria elimination. The Gambia is the ideal place to carry out the proposed research program because 1. The country has been extremely successful in reducing the malaria burden and aims at reducing it further; 2. The MRC laboratories have the required expertise, the advanced technological platform and the necessary international collaborations to achieve the program's objectives. The combination of these two factors is unique in West Africa and offers a golden opportunity to carry out a research programme that can have a profound influence on the way elimination efforts will be implemented in sub-Saharan Africa.
Activities are divided into two parallel and complementary sections: one section aims at understanding the dynamics of malaria transmission and the reasons why this can substantially differ within few kilometres; the other section will aim at improving diagnostic tests able to identify malaria infected but otherwise healthy people (malaria carriers).
For the former, the populations of 12 villages will be intensively followed up for 3 transmission seasons to understand who the malaria carriers are and how the infection spreads across the populations. Information on the vector population, including the presence of insecticide resistance, and on the human behaviour will be collected to partly explain the likely differences between the study villages.
At the end of the study we will have a better understanding on how the malaria parasites spread and what are the important determinants that maintain transmission from one year to the other, despite the high coverage of preventive and curative measures.
Concerning diagnostic tests, the currently available tests that can be used in the field cannot detect a proportion of infected people that contributes in maintaining transmission. We will try two approaches, one aiming at developing easy-to-use molecular test that can detect most infected individuals, and the other looking at ""markers"" of infection by detecting parasite's or host's proteins that can be found only in infected individuals. The latter could provide the knowledge necessary to develop a more sensitive test.
","The objectives of this proposed research program are both to understand the dynamics of malaria transmission in a context of high coverage of standard control interventions, and to provide the tools to identify the residual reservoir of infection.","Epidemiology, Product development & clinical research","Asymptomatic reservoir, Measurement of transmission, Residual transmission"
Targeting male mosquito mating behavior for vector control,http://gtr.rcuk.ac.uk/project/6EC2A04E-8A40-4A32-9902-FD05C45671CB#,Project,May-11,May-16,Burkina Faso,$1 603 000,"Medical Research Council (MRC), UK",,,"Keele University, UK","Frederic Tripet, Abdoulaye Diabate",,"Malaria remains a major cause of mortality in many parts of Africa. The control of mosquito populations remains one of the most efficient ways of decreasing the incidence of the disease. This is commonly done by using insecticide-impregnated bednets or by spraying houses. In many areas of Africa however, mosquito populations are becoming resistant to commonly used pesticides. There is thus an urgent need for exploring and developing novel approaches to control or eradicate mosquito populations.
Here, two medical entomologists from Burkina Faso and the UK join their expertise to propose an extensive research program focusing on the male reproductive behaviour of Anopheles gambiae, the main vector of malaria in Africa. Male mating behaviour is a key aspect of the mosquito life-cycle and an aspect of their biology that is crucial for the development of several promising vector control strategies. Anopheles gambiae mates in flying aggregations or swarms in which they choose their mate and copulate. Swarms would constitute an ideal target for mosquito population control but very little is known about the cues that male mosquitoes use to locate and initiate their swarms.
Here, the researchers propose to build on recent findings from months of observation of swarm formation in their natural habitats to explore the feasibility of predicting and manipulating swarm location for mass killing. Male mating behaviour is also crucial for vector control programs aiming to release sterile male mosquitoes that mate with wild females and induce their sterility and for programs aiming to introduce genes of refractoriness to malaria into mosquito populations via genetically-modified mosquitoes. So far laboratory-reared male mosquitoes have been unable to mate with wild females effectively thereby casting doubt on the efficiency of mosquito releases.
An important part of the research program will thus focus on understanding what determines male mating success in swarms with the goal of improving the mating performance of laboratory-reared male mosquitoes. The proposed research studies will include ecological experiments in specially designed large outdoor cages and selected villages in Burkina Faso and will also benefit from the latest molecular advances in the laboratories of the UK partner institution. The novel approaches are expected to strongly impact this field of research and soon benefit communities from countries endemic for malaria by enabling new mosquito control strategies.
",,"Basic science, Entomology",Tools for elimination
Genetic basis of salt tolerance in Anopheles gambiae s.l.,http://projectreporter.nih.gov/project_info_description.cfm?aid=8499248,Project,Jul-15,Jun-15,,$401 000,"National Institute of Allergy and Infectious Diseases (NIAID), NIH",,,"University of Notre Dame, USA",Nora J. Besansky,,"About 800,000 people die each year from malaria. While the currently available vector control tools-mainly bed nets and indoor insecticide spraying-are substantially reducing malaria cases and deaths, this public health success is fragile due to the threat of resistance. Moreover, even without resistance, existing tools are insufficient to interrupt malaria transmission where it is high and stable, as in many parts of Africa. The development of new vector-targeted tools is imperative, but depends on an understanding of mosquito ecology and behavior that is currently lacking.
Here we study saltwater tolerance, a trait found in numerous important malaria vectors that plays a key role in determining habitat use and ecological distribution of mosquitoes, and thus their contribution to malaria transmission.Our objective is to dissect the genetic basis of saltwater tolerance in the African malaria vector An. merus, a close relative of the primary vector An. gambiae. We will dissect saltwater tolerance in An. merus through two complementary specific aims:
1. Genetically map QTLs that contribute to salinity tolerance in An. merus Using multiple colonies of An. merus and An. gambiae, we have shown that An. merus can be distinguished from An. gambiae and their F1 hybrids by survival in 50% seawater. We will apply a novel Illumina-based genotyping approach to map recombination breakpoints in individual backcross progeny that do/do not survive exposure to 50% seawater, to localize QTL regions that control salinity tolerance.
2. Identify differential gene expression associated with development in fresh vs. saltwater
We have shown that the ability of An. merus to survive in 50% seawater is dependent upon developmental timing of exposure, and that the localization of an ion transporting protein (Na/K ATPase) in the rectum differs in fresh vs. saltwater-reared larvae. We hypothesize that these observations are due to differential expression triggered by exposure to saltwater. We will test this hypothesis and identify candidate genes by comparing global gene expression between fresh vs. saltwater-reared larvae.
At the end of the two-year project, combined evidence from QTL mapping and differential gene expression will lead us to candidate genes and/or candidate gene regions that contribute to salinity tolerance in the malaria vector An. merus. Unlike other complex ecological, behavioral and life history traits of epidemiological importance that are probably polygenic, saltwater tolerance is relatively tractable, likely governed by a few major loc with large effects, and simple to assay. The ability to dissect the genetic basis of this adaptive trait using next generation genomic tools lays the groundwork for future efforts to understand the mechanisms by which these vector mosquitoes adapt to a heterogeneous and changing environment, opening up new avenues of vector control.
",,"Basic science, Entomology",
A low cost Mosquito Contamination Device for sustainable malaria mosquito control,http://cordis.europa.eu/project/rcn/106245_en.html,Project,Dec-12,Nov-15,"Tanzania, United Republic of",$6 576 806,European Commission,FP7 Health,"Pennsylvania State University, Biogents AG, Germany, CTF 2000 NV, Belgium, Ifakara Health Institute (IHI)",In2Care ,Remco Suer,"Pennsylvania State University, Biogents AG, Germany, CTF 2000 NV, Belgium, Ifakara Health Institute (IHI)","Our consortium will focus on the integration of four novel control components in a low-tech (no power source, no need for CO2) and cheap mosquito contamination device (MCD) that will a) lure malaria mosquitoes to an attractive point source, b) infect them there with a fungus as a slow-killing agent, and c) expose them to a juvenile hormone analogue with which they will contaminate their breeding sites and kill mosquito larvae.
This is unique because it will be the first vector control tool that targets both adult and larval mosquito stages simultaneously with environment-friendly control agents. We foresee the use of MCDs mostly in the outdoor environment where they will lure, infect, and contaminate host-seeking and resting females. Together with the excito-repellent properties of insecticides used for indoor spraying and bednet impregnation, and possibly spatial repellents, MCDs will serve within a push-pull framework.
We aim to develop a low-cost MCD that operates uninterrupted and without maintenance for prolonged periods of. MCDs will be highly useful in areas where insecticide-resistance is hampering the effectiveness of current vector control tools and where behavioural adaptation of mosquito populations has shifted towards outdoor resting and biting.
Our goal is to have several prototypes of MCDs in an advanced stage of development and ready for industrial production at the end of this 3-year project. By then, extensive (semi-)field testing in Tanzania and various other countries will have been completed. This proposal brings together a unique mix of business-oriented and academic/institutional partners with a broad range of expertises in fungus and mosquito biology, mosquito behaviour, trapping technology, materials sciences and entrepreneurial interests. We will synergise our abilities to make substantial progress to achieve our goal: to add a novel, effective, and economic alternative to the limited vector control toolbox available to combat malaria.
Malaria Mosquito Contamination Device (MCD)
Mosquito Contamination Device (MCD: 2012-2015)
","This three-year project was aimed at developing a low-cost and user-friendly mosquito contamination device (MCD) that can effectively lure, infect and contaminate malaria mosquitoes in realistic tropical settings. A suite of prototype technologies were generated in the course of the project: Eave Tubes, Smart Patch, Powder binding Electrostatic coating, and Outdoor Traps (Host seeking Devices). Above all, 1800 local houses within Kilombero Valley, Tanzania, were installed with Eave Tubes.","Entomology, Product development & clinical research",Tools for elimination
Functional Genomics of Inversion 2La in Anopheles gambiae,http://projectreporter.nih.gov/project_info_description.cfm?aid=8423311,Project,Mar-09,Feb-16,,$2 400 000,"National Institute of Allergy and Infectious Diseases (NIAID), NIH",,,"University of Notre Dame, USA",Nora J. Besansky,,"Malaria caused by Plasmodium falciparum claims the lives of three million children per year, mainly in Africa. A vaccine is not available and chemoprophylaxis alone is unlikely to significantly reduce transmission.
Aside from the threat of insecticide resistance, existing vector control strategies that focus on indoor use of insecticides may not reach all of the disease-transmitting population or may induce a behavioral shift, given underlying population heterogeneities in vector resting and biting behavior-- even in vectors considered to be primarily ""endophilic"" and ""endophagic"" (indoor resting and biting) such as Anopheles gambiae.
In Africa, A. gambiae is the most important vector. This mosquito has adapted rapidly to climatically diverse and anthropogenic environments. Instrumental to its adaptive flexibility are polymorphic chromosomal inversions. Of particular relevance are alternative arrangements on the left arm of chromosome 2 (2La or +a) that are preferentially associated with contrasting environments (arid and humid) through entirely unknown physiological and/or behavioral mechanisms.
Based on frequency distribution maps of 2La, this arrangement reaches 100% in arid savannas while in humid rainforests only the alternative arrangement (2L+a) is found. Thus without the benefit of 2La, A. gambiae would be limited to rainforest areas where this mosquito is not necessarily the most abundant or even the best malaria vector.
At a local level, 2La reaches its highest frequency during the dry season and in samples captured resting indoors at night where the nocturnal saturation deficit is higher. Thus 2La influences a key epidemiological trait-- the probability of vector-human contact-- as well as the likelihood of vector exposure to insecticide-treated walls and bed nets, through its effect on indoor biting and resting behavior.
The ultimate goal of this project is to identify the genes and gene networks in 2La that confer resistance to aridity-- a phenotype or suite of phenotypes that leads to increased vector-human contact and malaria transmission at both local and geographic scales. To achieve this goal, we propose a multidisciplinary and integrative approach that combines phenotypic and molecular analysis to begin to tease apart the functional genomics of 2La through three specific aims:
Identify phenotypic traits associated with alternative arrangements of 2La;
Identify sequence differences between arrangements that may contribute to phenotypic differences;
Associate genotypic and phenotypic differences by comparing patterns of gene expression.
The short-term outcome of this program will be linkages between adaptive phenotypes and underlying candidate genes, leading to specific hypotheses about how 2La confers resistance to aridity and impacts the probability of vector-human contact.
The longer term benefits are two-fold. The first is improved implementation, evaluation and design of vector control, based on a mechanistic understanding of what we now call ""adaptive flexibility"". In other words, gaining a detailed understanding of genetic, physiological and behavioral attributes of 2La that are linked to aridity tolerance and indoor resting behavior will significantly improve our ability to predict the epidemiological impact of existing and novel vector control strategies, and can lead to the design of more comprehensive strategies resistant to evasion by components of the vector population. The second benefit is that a successful outcome in the study of functional genomics of aridity resistance in 2La will serve as a general model for studying the functional genomics of many other medically important traits in A. gambiae.
",,"Basic science, Entomology",
Population Biology of African Malaria Vectors and Parasites,http://projectreporter.nih.gov/project_info_description.cfm?aid=8664954,Project,Sep-00,May-20,Kenya,$2 500 000,"Fogarty International Center (FIC), NIH",,,"University of California, Irvine",Guiyun Yan,,"The scientific objectives of this competing renewal training application focus on population regulation of African malaria vectors, development of new malaria vector surveillance and control tools, and population genetics and antimalarial drug-resistance in malaria parasites. The overarching goal of this program is to enhance malaria research capacity and advance the career development of promising young scientists from sub-Saharan African countries.
","The scientific objectives of this competing renewal training application focus on population regulation of African malaria vectors, development of new malaria vector surveillance and control tools, and population genetics and antimalarial drug-resistance in malaria parasites. The overarching goal of this program is to enhance malaria research capacity and advance the career development of promising young scientists from sub-Saharan African countries.","Entomology, Training & capacity building",Surveillance
Interactions between insects and pathogens/parasites for disease control,http://federalreporter.nih.gov/project_info_details.cfm?aid=596786,Project,Jul-11,Jun-16,,,,,,Pennsylvania State University,Liwang Cui,,,"In this project, we will study the developmental biology of the malaria parasites, identify factors affecting the transmission success to and from insects of drug resistant pathogens, and develop and evaluate the Late Life Acting insecticide approach in vector control.
This study will apply some cutting-edge technologies including parasite transgenics and genomics, quntitative biology, and mathmetical modeling. By elucidating molecular interactions between host and pathogens of human and animal diseases, rational and novel disease control measures may be developed.","Basic science, Entomology, Modelling",Drug resistance
The function(s) of serpin-2 in mosquito immunity and physiology,http://projectreporter.nih.gov/project_info_description.cfm?aid=8645605,Project,May-11,Apr-15,,$1 500 000,"National Institute of Allergy and Infectious Diseases (NIAID), NIH",,,Kansas State University,Kristin Michel,,"Malaria control and eradication strategies continue to primarily rely on vector control that is stymied by insecticide resistance in vector populations. In addition to resistance management, novel insecticides with new modes of action - particularly for which efficacy is not affected by existing resistance mechanisms - are required.
The long-term goal is to develop a malaria vector control methodology based on a new insecticide target, the serine protease inhibitor serpin (SRPN)2 from the African malaria mosquito, Anopheles gambiae s.s.. SRPN2 is a key negative regulator in the extracellular proteinase cascade that controls activation of prophenoloxidase (proPO) and thus melanization - a powerful, arthropod-specific innate immune response.SRPN2 depletion from the hemolymph of adult female mosquitoes significantly reduces longevity with escalating daily mortality nine days after treatment.
The objectives in this application are to identify the interactions of SRPN2 with its proteinase targets and to evaluate the malaria control potential of a SRPN2 inhibitor. The rationale for the proposed research is that detailed information on SRPN2's biological proteinase targets and mode of action will ultimately allow the design of small molecule inhibitors of SRPN2 that could act as an insecticide for mosquito vector control.
Guided by our preliminary data, the following three specific aims will be pursued:
Determine the molecular targets of SRPN2 inhibitory function;
Determine the molecular interface between SRPN2 and its target proteinase(s);and
Model the impact of SRPN2 depletion on disease transmission.
Under the first aim, a combination of biochemical and genetic approaches that have been used successfully in the applicant's laboratory will be used to identify serine proteinase targets of SRPN2 based on their ability to (a) form covalent complexes with the serpin and (b) revert the serpin's depletion phenotype.
Under the second aim, the molecular interactions between SRPN2 and one of its target proteinases, CLIPB9, will be identified by protein crystallography and mutational analysis.
Under the third aim, the potential effect of SRPN2 inhibition on malaria transmission and resistance development against a potential SRPN2 inhibitor will be assessed by mathematical modeling.
The proposed research is innovative, as it will for the first time evaluate the mosquito immune system as a physiological target for novel insecticides. Additionally, this project will use microfluidics as a highly innovative approach to the study of mosquito innate immunity, which if successful will be transformative to the field of insect biochemistry. This project is significant as it will provide fundamental knowledge of the nature of serine proteinase cascades that regulate melanization in mosquitoes. Ultimately, it has the potential to advance the development of new a generation of insecticide targets for malaria control
",,"Basic science, Entomology, Modelling","Insecticide resistance, Tools for elimination"
Development of a Field Applicable Screening Tool (FAST) kit for detecting resista,http://projectreporter.nih.gov/project_info_description.cfm?aid=8462498,Project,May-09,Apr-15,,$1 600 000,"National Institute of Allergy and Infectious Diseases (NIAID), NIH",,,,Martin James Donnelly,,"The long term objective is to facilitate the rational use of insecticides in malaria and filaria control campaigns based by upon a more complete understanding of resistance mechanisms. The specific aims of this proposal are to:
Identify genes that render Anopheles gambiae s.l. mosquitoes resistant to a range of insecticides that are used for indoor residual spraying (IRS) for malaria and filariasis namely an organochloride (DDT), a carbamate (Bendiocarb) and a class II pyrethroid (?-cyhalothrin).
Develop DNA-based insecticide resistance screening tools for use by the staff of vector control programmes in the malaria and filariasis affected countries of sub-Saharan Africa.
These routine resistance screens will permit routine monitoring of mutations giving information vital for predicting the success of IRS and ITN programmes. The objective will be addressed in three specific phases:
Phase 1 - The discovery of resistance-associated loci using candidate gene association mapping and whole genome microarrays. In two focal African countries, genes potentially involved in resistance to three major IRS insecticides (DDT, Bendiocarb, ?-cyhalothrin) will be identified using two complementary approaches:- i) Variation at the DNA level will be investigated using a custom candidate gene 1536plex SNP array and ii) differential gene expression between resistant and susceptible Anopheles gambiae will be investigated via whole genome microarrays. Putative resistance-associated SNPs within and around the most promising genes or gene regulators will be taken forward to phase 2 for wider field validation.
Phase 2 - Candidate gene validation in the PMI and TDR network countries of sub-Saharan Africa. The putative resistance-associated SNPs identified in phase 1 will be screened for association with resistance in a much larger sample from a large section of sub-Saharan Africa via collaboration with extant World Health Organization/Tropical Disease Research (TDR) and President's Malaria Initiative (PMI) programmes. The aim is to screen for association of SNPs with resistance within and across populations producing a multi-site association meta-analysis to identify resistance-associated SNPs of major and/or generic effect.
Phase 3 - Integrating metabolic resistance markers into a Field Applicable Screening Tool. The final phase of the programme will involve design, testing and roll-out of a field applicable screening tool (FAST), which will comprise straightforward and robust diagnostics to be used in laboratories in the disease-affected countries. The FAST diagnostics will include the most important genetic markers for resistance to the IRS insecticides, in addition to any critical pre-identified markers (e.g. for species/ molecular form identification).
FAST roll-out will occur via collaboration with extant Innovative Vector Control Consortium (IVCC), TDR and PMI programmes. The development of insecticide resistance in Anopheles mosquitoes is a major threat to malaria control. Conventional means of assessing resistance are costly, insensitive and inaccurate. We propose to develop assays that will allow disease programme managers to detect resistance when it is still at a low frequency and before control failure has occurred.
",,"Basic science, Entomology, Product development & clinical research",Insecticide resistance
The molecular physiology of 'kidney' function in mosquitoes: identification of molecular targets and discovery of insecticides for mosquito control,http://federalreporter.nih.gov/project_info_details.cfm?aid=598130,Project,Jun-12,Sep-17,,,,,,Ohio State University,Peter M. Piermarini,,"Mosquitoes are vectors of numerous pathogens that present a significant challenge to the health and well-being of humans and animals. Unfortunately, the present arsenal of insecticides used for mosquito control is rapidly losing its effectiveness, because insecticide resistance is evolving in mosquitoes. Thus, there is an urgent need to develop new insecticides with novel mechanisms of action to control the spread of mosquito-borne diseases.
In response to this need, the present Hatch proposal aims to facilitate the development of a new generation of insecticides that will kill mosquitoes by attacking their analog of a kidney--i.e., the Malpighian tubules. The objectives of the proposal are to:
Identify genes that play key roles in the renal functions of adult female mosquitoes (the blood-feeding life stage);
Discover chemical compounds that kill mosquitoes by impairing their renal functions.
If the objectives are met, then the proposed Hatch studies have potential to catalyze the development of a new generation of insecticides for controlling mosquitoes.
",,"Basic science, Entomology",Tools for elimination
Molecular analysis of insecticide action and resistance,http://federalreporter.nih.gov/project_info_details.cfm?aid=589872,Project,Oct-12,Sep-17,,,,,,New York State Agricultural Experiment Station ,David M. Soderlund,,"The use of existing insecticides and the discovery of new insect control agents require continued research on mechanisms of insecticide action, selectivity and resistance at target sites of proven value such as the voltage-gated sodium channel. Detailed knowledge of the action of insecticides and other agents on sodium channels will contribute to the continued safe and wise use of current insecticides and the discovery and development of new insecticides acting at this high-value target. This project will employ the tools of molecular neurobiology and pharmacology to characterize mechanisms of action, selectivity and resistance of current and potential future insecticides on sodium channels.
",,"Basic science, Entomology",Insecticide resistance
Targeting the reproductive biology of the malaria mosquito Anopheles gambiae: from laboratory studies to field applications,http://cordis.europa.eu/project/rcn/97367_en.html,Project,Jan-11,Dec-15,"Italy, Burkina Faso",$2 000 900,European Commission,,,Harvard T.H. Chan School of Public Health,Flaminia Catteruccia,,"Anopheles gambiae mosquitoes are the major vectors of malaria, a disease with devastating consequences for human health. Novel methods for controlling the natural vector populations are urgently needed, given the evolution of insecticide resistance in mosquitoes and the lack of novel insecticidals.
Understanding the processes at the bases of mosquito biology may help to roll back malaria. In this proposal, we will target mosquito reproduction, a major determinant of the An. gambiae vectorial capacity. This will be achieved at two levels:
(i) fundamental research, to provide a deeper knowledge of the processes regulating reproduction in this species, and
(ii) applied research, to identify novel targets and to develop innovative approaches for the control of natural populations. We will focus our analysis on three major players of mosquito reproduction: male accessory glands (MAGs), sperm, and spermatheca, in both laboratory and field settings.
We will then translate this information into the identification of inhibitors of mosquito fertility.
","The experimental activities will be divided across three objectives:
We will unravel the role of the MAGs in shaping mosquito fertility and behaviour, by performing a combination of transcriptional and functional studies that will reveal the multifaceted activities of these tissues.
We will instead focus on the identification of the male and female factors responsible for sperm viability and function. Results obtained in both objectives will be validated in field mosquitoes.
We will perform screens aimed at the identification of inhibitors of mosquito reproductive success.
This study will reveal as yet unknown molecular mechanisms underlying reproductive success in mosquitoes, considerably increasing our knowledge beyond the state-of-the-art and critically contributing with innovative tools and ideas to the fight against malaria.","Basic science, Entomology",Tools for elimination
 Evaluation of the impact of seasonal malaria chemoprevention delivered by district health services in southern Senegal,http://www.malariaeradication.org/mesa-track/evaluation-impact-seasonal-malaria-chemoprevention-delivered-district-health-services,Project,2013,2018,,,Wellcome Trust,,,"Cheikh Anta Diop University, Senegal",Jean Louis Ndiaye,,,,Modelling,Drug-based strategies
 Mapping the risks of Plasmodium falciparum infections in areas of low transmission intensity,http://www.malariaeradication.org/mesa-track/mapping-risks-plasmodium-falciparum-infections-areas-low-transmission-intensity,Project,2011,2016,,,Wellcome Trust,,,"Kenya Medical Research Institute (KEMRI), University of Oxford",Abdisalan M Noor,,,"1.       To model malaria risk using monthly health facility data on parasitologically confirmed malaria cases among fever patients by applying novel space-time mode-based geostatisitcs.
2.       To develop new mode-based geostatisitcs approaches to integrate the varying spatial and temporal properties of data on P. falciparum parasite prevalence among individuals of all ages seen during community surveys and the number of febrile patients seen at public health facilities.
3.       To undertake a series of nested studies to enhance the understanding of the malaria epidemiology in areas of low transmission intensity that aim to inform approaches to high resolution malaria risk mapping.",Modelling,Measurement of transmission
